time,current,speed
0,1e-08,0
0.001,0.01996,0.00019041
0.002,0.039879,0.00057066
0.003,0.059758,0.0011402
0.004,0.079598,0.0018984
0.005,0.099397,0.0028447
0.006,0.11916,0.0039786
0.007,0.13888,0.0052994
0.008,0.15856,0.0068067
0.009,0.1782,0.0084999
0.01,0.1978,0.010378
0.011,0.21736,0.012441
0.012,0.23688,0.014689
0.013,0.25636,0.01712
0.014,0.2758,0.019734
0.015,0.29521,0.02253
0.016,0.31457,0.025509
0.017,0.3339,0.028668
0.018,0.35318,0.032009
0.019,0.37243,0.03553
0.02,0.39164,0.039231
0.021,0.41081,0.04311
0.022,0.42994,0.047169
0.023,0.44903,0.051406
0.024,0.46809,0.05582
0.025,0.4871,0.060411
0.026,0.50608,0.065178
0.027,0.52502,0.070122
0.028,0.54392,0.075241
0.029,0.56279,0.080534
0.03,0.58161,0.086002
0.031,0.6004,0.091644
0.032,0.61915,0.097459
0.033,0.63786,0.10345
0.034,0.65653,0.10961
0.035,0.67517,0.11594
0.036,0.69377,0.12244
0.037,0.71233,0.12911
0.038,0.73085,0.13596
0.039,0.74934,0.14297
0.04,0.76778,0.15015
0.041,0.7862,0.1575
0.042,0.80457,0.16502
0.043,0.82291,0.1727
0.044,0.84121,0.18056
0.045,0.85947,0.18858
0.046,0.8777,0.19676
0.047,0.89589,0.20511
0.048,0.91404,0.21363
0.049,0.93216,0.2223
0.05,0.95024,0.23115
0.051,0.96828,0.24015
0.052,0.98629,0.24932
0.053,1.0043,0.25865
0.054,1.0222,0.26815
0.055,1.0401,0.2778
0.056,1.058,0.28762
0.057,1.0758,0.29759
0.058,1.0936,0.30773
0.059,1.1113,0.31802
0.06,1.129,0.32847
0.061,1.1467,0.33909
0.062,1.1644,0.34985
0.063,1.182,0.36078
0.064,1.1996,0.37186
0.065,1.2171,0.3831
0.066,1.2346,0.3945
0.067,1.2521,0.40605
0.068,1.2695,0.41775
0.069,1.2869,0.42961
0.07,1.3043,0.44163
0.071,1.3216,0.45379
0.072,1.3389,0.46611
0.073,1.3562,0.47859
0.074,1.3734,0.49121
0.075,1.3906,0.50398
0.076,1.4077,0.51691
0.077,1.4249,0.52999
0.078,1.4419,0.54321
0.079,1.459,0.55659
0.08,1.476,0.57011
0.081,1.493,0.58379
0.082,1.5099,0.59761
0.083,1.5269,0.61158
0.084,1.5437,0.62569
0.085,1.5606,0.63995
0.086,1.5774,0.65436
0.087,1.5942,0.66892
0.088,1.6109,0.68362
0.089,1.6276,0.69846
0.09,1.6443,0.71345
0.091,1.6609,0.72858
0.092,1.6776,0.74386
0.093,1.6941,0.75928
0.094,1.7107,0.77484
0.095,1.7272,0.79054
0.096,1.7437,0.80638
0.097,1.7601,0.82237
0.098,1.7765,0.8385
0.099,1.7929,0.85476
0.1,1.8092,0.87117
0.101,1.8255,0.88771
0.102,1.8418,0.9044
0.103,1.8581,0.92122
0.104,1.8743,0.93818
0.105,1.8905,0.95527
0.106,1.9066,0.97251
0.107,1.9227,0.98988
0.108,1.9388,1.0074
0.109,1.9548,1.025
0.11,1.9709,1.0428
0.111,1.9868,1.0607
0.112,2.0028,1.0788
0.113,2.0187,1.0969
0.114,2.0346,1.1153
0.115,2.0505,1.1337
0.116,2.0663,1.1523
0.117,2.0821,1.171
0.118,2.0978,1.1898
0.119,2.1136,1.2088
0.12,2.1293,1.2279
0.121,2.1449,1.2472
0.122,2.1606,1.2665
0.123,2.1762,1.286
0.124,2.1917,1.3056
0.125,2.2073,1.3254
0.126,2.2228,1.3453
0.127,2.2383,1.3653
0.128,2.2537,1.3854
0.129,2.2691,1.4057
0.13,2.2845,1.4261
0.131,2.2998,1.4466
0.132,2.3152,1.4672
0.133,2.3305,1.488
0.134,2.3457,1.5089
0.135,2.3609,1.5299
0.136,2.3761,1.551
0.137,2.3913,1.5723
0.138,2.4064,1.5937
0.139,2.4215,1.6152
0.14,2.4366,1.6368
0.141,2.4517,1.6586
0.142,2.4667,1.6805
0.143,2.4817,1.7024
0.144,2.4966,1.7246
0.145,2.5115,1.7468
0.146,2.5264,1.7692
0.147,2.5413,1.7916
0.148,2.5561,1.8142
0.149,2.5709,1.8369
0.15,2.5857,1.8598
0.151,2.6004,1.8827
0.152,2.6152,1.9058
0.153,2.6298,1.929
0.154,2.6445,1.9523
0.155,2.6591,1.9757
0.156,2.6737,1.9992
0.157,2.6883,2.0229
0.158,2.7028,2.0466
0.159,2.7173,2.0705
0.16,2.7318,2.0945
0.161,2.7463,2.1186
0.162,2.7607,2.1428
0.163,2.7751,2.1672
0.164,2.7894,2.1916
0.165,2.8038,2.2162
0.166,2.8181,2.2408
0.167,2.8323,2.2656
0.168,2.8466,2.2905
0.169,2.8608,2.3155
0.17,2.875,2.3406
0.171,2.8891,2.3659
0.172,2.9033,2.3912
0.173,2.9174,2.4166
0.174,2.9314,2.4422
0.175,2.9455,2.4678
0.176,2.9595,2.4936
0.177,2.9735,2.5195
0.178,2.9875,2.5455
0.179,3.0014,2.5716
0.18,3.0153,2.5978
0.181,3.0292,2.6241
0.182,3.043,2.6505
0.183,3.0568,2.677
0.184,3.0706,2.7036
0.185,3.0844,2.7303
0.186,3.0981,2.7571
0.187,3.1118,2.7841
0.188,3.1255,2.8111
0.189,3.1392,2.8382
0.19,3.1528,2.8655
0.191,3.1664,2.8928
0.192,3.18,2.9203
0.193,3.1935,2.9478
0.194,3.207,2.9755
0.195,3.2205,3.0032
0.196,3.234,3.0311
0.197,3.2474,3.059
0.198,3.2608,3.0871
0.199,3.2742,3.1152
0.2,3.2875,3.1435
0.201,3.3009,3.1718
0.202,3.3142,3.2003
0.203,3.3274,3.2288
0.204,3.3407,3.2575
0.205,3.3539,3.2862
0.206,3.3671,3.315
0.207,3.3803,3.344
0.208,3.3934,3.373
0.209,3.4065,3.4021
0.21,3.4196,3.4314
0.211,3.4326,3.4607
0.212,3.4457,3.4901
0.213,3.4587,3.5196
0.214,3.4717,3.5492
0.215,3.4846,3.5789
0.216,3.4975,3.6087
0.217,3.5104,3.6386
0.218,3.5233,3.6686
0.219,3.5362,3.6986
0.22,3.549,3.7288
0.221,3.5618,3.759
0.222,3.5746,3.7894
0.223,3.5873,3.8198
0.224,3.6,3.8504
0.225,3.6127,3.881
0.226,3.6254,3.9117
0.227,3.638,3.9425
0.228,3.6507,3.9734
0.229,3.6632,4.0043
0.23,3.6758,4.0354
0.231,3.6884,4.0666
0.232,3.7009,4.0978
0.233,3.7134,4.1291
0.234,3.7258,4.1606
0.235,3.7383,4.1921
0.236,3.7507,4.2237
0.237,3.7631,4.2553
0.238,3.7754,4.2871
0.239,3.7878,4.3189
0.24,3.8001,4.3509
0.241,3.8124,4.3829
0.242,3.8246,4.415
0.243,3.8369,4.4472
0.244,3.8491,4.4795
0.245,3.8613,4.5118
0.246,3.8735,4.5443
0.247,3.8856,4.5768
0.248,3.8977,4.6094
0.249,3.9098,4.6421
0.25,3.9219,4.6749
0.251,3.9339,4.7078
0.252,3.9459,4.7407
0.253,3.9579,4.7737
0.254,3.9699,4.8068
0.255,3.9818,4.84
0.256,3.9938,4.8733
0.257,4.0057,4.9066
0.258,4.0175,4.94
0.259,4.0294,4.9735
0.26,4.0412,5.0071
0.261,4.053,5.0408
0.262,4.0648,5.0745
0.263,4.0766,5.1084
0.264,4.0883,5.1422
0.265,4.1,5.1762
0.266,4.1117,5.2103
0.267,4.1233,5.2444
0.268,4.135,5.2786
0.269,4.1466,5.3129
0.27,4.1582,5.3473
0.271,4.1697,5.3817
0.272,4.1813,5.4162
0.273,4.1928,5.4508
0.274,4.2043,5.4855
0.275,4.2158,5.5202
0.276,4.2272,5.555
0.277,4.2386,5.5899
0.278,4.25,5.6249
0.279,4.2614,5.6599
0.28,4.2728,5.695
0.281,4.2841,5.7302
0.282,4.2954,5.7654
0.283,4.3067,5.8008
0.284,4.318,5.8362
0.285,4.3292,5.8716
0.286,4.3404,5.9072
0.287,4.3516,5.9428
0.288,4.3628,5.9785
0.289,4.374,6.0142
0.29,4.3851,6.05
0.291,4.3962,6.0859
0.292,4.4073,6.1219
0.293,4.4184,6.1579
0.294,4.4294,6.194
0.295,4.4404,6.2302
0.296,4.4514,6.2664
0.297,4.4624,6.3028
0.298,4.4733,6.3391
0.299,4.4843,6.3756
0.3,4.4952,6.4121
0.301,4.506,6.4487
0.302,4.5169,6.4853
0.303,4.5278,6.522
0.304,4.5386,6.5588
0.305,4.5494,6.5957
0.306,4.5601,6.6326
0.307,4.5709,6.6696
0.308,4.5816,6.7066
0.309,4.5923,6.7437
0.31,4.603,6.7809
0.311,4.6137,6.8181
0.312,4.6243,6.8554
0.313,4.635,6.8928
0.314,4.6456,6.9302
0.315,4.6561,6.9677
0.316,4.6667,7.0053
0.317,4.6772,7.0429
0.318,4.6877,7.0806
0.319,4.6982,7.1183
0.32,4.7087,7.1561
0.321,4.7192,7.194
0.322,4.7296,7.232
0.323,4.74,7.2699
0.324,4.7504,7.308
0.325,4.7608,7.3461
0.326,4.7711,7.3843
0.327,4.7814,7.4225
0.328,4.7917,7.4608
0.329,4.802,7.4992
0.33,4.8123,7.5376
0.331,4.8225,7.5761
0.332,4.8328,7.6146
0.333,4.843,7.6532
0.334,4.8531,7.6919
0.335,4.8633,7.7306
0.336,4.8734,7.7693
0.337,4.8836,7.8082
0.338,4.8937,7.847
0.339,4.9037,7.886
0.34,4.9138,7.925
0.341,4.9238,7.964
0.342,4.9338,8.0032
0.343,4.9438,8.0423
0.344,4.9538,8.0815
0.345,4.9638,8.1208
0.346,4.9737,8.1602
0.347,4.9836,8.1995
0.348,4.9935,8.239
0.349,5.0034,8.2785
0.35,5.0133,8.318
0.351,5.0231,8.3577
0.352,5.0329,8.3973
0.353,5.0427,8.437
0.354,5.0525,8.4768
0.355,5.0622,8.5166
0.356,5.072,8.5565
0.357,5.0817,8.5964
0.358,5.0914,8.6364
0.359,5.1011,8.6765
0.36,5.1107,8.7165
0.361,5.1204,8.7567
0.362,5.13,8.7969
0.363,5.1396,8.8371
0.364,5.1492,8.8774
0.365,5.1587,8.9178
0.366,5.1683,8.9582
0.367,5.1778,8.9986
0.368,5.1873,9.0391
0.369,5.1968,9.0796
0.37,5.2062,9.1202
0.371,5.2157,9.1609
0.372,5.2251,9.2016
0.373,5.2345,9.2423
0.374,5.2439,9.2831
0.375,5.2533,9.324
0.376,5.2626,9.3648
0.377,5.2719,9.4058
0.378,5.2813,9.4468
0.379,5.2906,9.4878
0.38,5.2998,9.5289
0.381,5.3091,9.57
0.382,5.3183,9.6112
0.383,5.3275,9.6524
0.384,5.3367,9.6937
0.385,5.3459,9.735
0.386,5.3551,9.7763
0.387,5.3642,9.8178
0.388,5.3733,9.8592
0.389,5.3825,9.9007
0.39,5.3915,9.9422
0.391,5.4006,9.9838
0.392,5.4097,10.025
0.393,5.4187,10.067
0.394,5.4277,10.109
0.395,5.4367,10.151
0.396,5.4457,10.192
0.397,5.4546,10.234
0.398,5.4636,10.276
0.399,5.4725,10.318
0.4,5.4814,10.36
0.401,5.4903,10.402
0.402,5.4992,10.444
0.403,5.508,10.486
0.404,5.5169,10.528
0.405,5.5257,10.571
0.406,5.5345,10.613
0.407,5.5433,10.655
0.408,5.552,10.698
0.409,5.5608,10.74
0.41,5.5695,10.782
0.411,5.5782,10.825
0.412,5.5869,10.867
0.413,5.5956,10.91
0.414,5.6042,10.952
0.415,5.6129,10.995
0.416,5.6215,11.038
0.417,5.6301,11.08
0.418,5.6387,11.123
0.419,5.6472,11.166
0.42,5.6558,11.209
0.421,5.6643,11.251
0.422,5.6728,11.294
0.423,5.6813,11.337
0.424,5.6898,11.38
0.425,5.6983,11.423
0.426,5.7067,11.466
0.427,5.7152,11.509
0.428,5.7236,11.552
0.429,5.732,11.595
0.43,5.7404,11.639
0.431,5.7487,11.682
0.432,5.7571,11.725
0.433,5.7654,11.768
0.434,5.7737,11.812
0.435,5.782,11.855
0.436,5.7903,11.898
0.437,5.7986,11.942
0.438,5.8068,11.985
0.439,5.815,12.029
0.44,5.8232,12.072
0.441,5.8314,12.116
